setting,cp_mode,target_coverage,worst_window_coverage,width_step_mean,width_std,control_alpha_step_mean,control_alpha_std,comment
conformal_acp_lags96_modeliTransformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.68,0.014649197128535438,0.030821426078675603,0.00462784951419338,0.040428908559333544,
conformal_acp_lags96_modelPyraformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.58,0.00985504120555836,0.08798796258556764,0.00256528637581924,0.06585949248728566,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelFEDformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.72,0.011945717190351517,0.027598381390537254,0.004020889336127419,0.03893443570436592,
conformal_acp_lags96_modelSCINet_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.75,0.013614882975783279,0.02410931084602954,0.004195770954735202,0.02593895241948885,
conformal_acp_lags96_modelTimesNet_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.71,0.013614334969103928,0.026622696374838228,0.004310592064962116,0.02869900718856417,
conformal_acp_lags96_modelTSMixer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.61,0.012915601123514414,0.14012668168151918,0.003178342872798079,0.06829813180568542,
conformal_acp_lags96_modelTransformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.74,0.003667164157039832,0.3888213334741964,0.0017743658210947946,0.05601571499029859,
conformal_acp_lags96_modelInformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.72,0.004110677067671909,0.5839068874321758,0.0017957276368491335,0.06117477791088562,
conformal_acp_lags96_modelReformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.75,0.003037904960609775,0.18117122566093616,0.001838451268357812,0.05305570296267452,
conformal_acp_lags96_modeliTransformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.76,0.0016232030205080442,0.038532856410616274,0.0018224299065420575,0.038934475064036564,
conformal_acp_lags96_modelPyraformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.78,0.0028629976543871794,0.22954584638048203,0.0018010680907877183,0.06048889679933513,
conformal_acp_lags96_modelAutoformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.8,0.004506811114135031,0.1188664810410366,0.001838451268357812,0.038349730897957686,
conformal_acp_lags96_modelFEDformer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.78,0.0020327175272944493,0.062352453327559065,0.0018331108144192271,0.03926434353246913,
conformal_acp_lags96_modelSCINet_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.77,0.0017132932576381953,0.030000976746675297,0.0018170894526034727,0.0323389837936166,
conformal_acp_lags96_modelTSMixer_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.76,0.0031735356345592245,0.28534055255660673,0.0018064085447263031,0.05619388495939869,
conformal_acp_lags96_modelTransformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.0,0.0024774405656476056,0.33499241085874004,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelInformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.0,0.0033757301691829805,0.5184712135191522,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelReformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.23,0.0012174045612146217,0.13179937161522554,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modeliTransformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.82,0.0005550663828718345,0.02379163827055316,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelPyraformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.0,0.0013930591709264359,0.14589675644421407,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelAutoformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.76,0.0015072025789502088,0.0806494489122963,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelFEDformer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.68,0.0007642012799916678,0.03605855424179767,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelTSMixer_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.0,0.0019559388749148866,0.23010317113010598,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelSCINet_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.86,0.0005073285550650295,0.01999262736439529,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelTimesNet_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.85,0.0005282719999472172,0.023251494106819526,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelTransformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.56,0.002493817526613128,0.3899314626038176,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelTimesNet_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.79,0.0015997752940185238,0.032375018936625984,0.001811748998664888,0.031624656390273995,
conformal_acp_lags96_modelTimesNet_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.79,0.01267065500594096,0.04938550656929244,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelInformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.44,0.009331817964897059,0.5609177453733736,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelReformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.53,0.0021727348238662104,0.17960924677095047,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modeliTransformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.81,0.007956749418680506,0.04701407278799633,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelPyraformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.7,0.002584606039886795,0.2268187449114046,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelAutoformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.76,0.026339771361338027,0.14114419365580544,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelFEDformer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.72,0.010087135302875767,0.0637871848427283,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelSCINet_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.85,0.013372308956558032,0.04898207079039883,0.0,1.3877787807814457e-17,
conformal_acp_lags96_modelTSMixer_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.66,0.004874448501544849,0.26131030027028845,0.0,1.3877787807814457e-17,
