setting,cp_mode,target_coverage,coverage,coverage_gap,avg_width,ces,rcs,point_mse,point_mae,comment
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8198799199466311,0.0801200800533689,0.35147564530299735,0.445791969616775,0.31122771427371476,0.0539114624555712,0.16412513674621415,| ablation=M0
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8305537024683122,0.06944629753168785,0.37114502220816475,0.46270672586181233,0.34044537877889225,0.018639657344612304,0.10370940305524039,| ablation=M0
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8398932621747832,0.060106737825216805,0.3637640163495793,0.485786238223621,0.3761540394991367,0.01780825587356209,0.10271930731500588,| ablation=M1
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.819212808539026,0.08078719146097402,0.3849888660908618,0.436297429915881,0.30037935651697034,0.019511251521813728,0.10850930751753031,| ablation=M2
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9633088725817212,0.06330887258172113,0.567569077040885,0.42610582367338956,0.30981794738481533,0.015506316000381486,0.09398362407752196,| ablation=M3
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9666444296197465,0.06664442961974648,0.6032327580923517,0.4123644567190956,0.29201226488145,0.01478021322332703,0.09586388811543944,| ablation=M4
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8358905937291528,0.06410940627084727,0.20115839844707287,0.5279661899164741,0.42037500585288307,0.005762180609665399,0.061915495787750935,| ablation=M0
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8332221480987325,0.0667778519012675,0.22966224785382586,0.5110932449753999,0.39792207549496866,0.007162225540249169,0.06460112385269133,| ablation=M1
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8825883922615076,0.017411607738492374,0.15084186237142996,0.7332414914225108,0.7062332165792219,0.004006871090082908,0.05143643748431433,| ablation=M2
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9773182121414277,0.07731821214142764,0.25826981017086864,0.476651430609756,0.3483896157523725,0.003567991716750946,0.049238282737643364,| ablation=M3
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9726484322881921,0.07264843228819207,0.3544996900310327,0.46034471350209794,0.334490192724192,0.004932189512681086,0.05620923368732449,| ablation=M4
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8605737158105403,0.039426284189459704,0.1296106297843819,0.6421557499702736,0.5796918355834737,0.002093547473111087,0.034129351590281035,| ablation=M0
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8652434956637759,0.034756504336224125,0.132459774915134,0.660441019819556,0.6055386440117513,0.0019075343170578817,0.0316480052231993,| ablation=M1
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8552368245496998,0.044763175450300174,0.12673890417414743,0.6222728182745025,0.5512772042059576,0.002042156188574094,0.03334966864392753,| ablation=M2
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9366244162775184,0.036624416277518335,0.17093819297274856,0.6324281138191722,0.5706621281081808,0.0018709554126928717,0.03156102567905246,| ablation=M3
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9633088725817212,0.06330887258172113,0.2227282342942084,0.5226898418576145,0.41477441687172384,0.0018024273882971023,0.031079406389659687,| ablation=M4
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8612408272181454,0.03875917278185459,0.30109959077191606,0.5661746881780922,0.4922863371955784,0.03327263498111988,0.13514609614886056,| ablation=M0
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8385590393595731,0.06144096064042692,0.18295713182586448,0.54215609797841,0.4397772706378247,0.004588084131086477,0.053305054779317955,| ablation=M1
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8465643762508339,0.053435623749166106,0.2620307395851892,0.5365172909485776,0.44079663836772404,0.019690504584377506,0.10818700481788954,| ablation=M2
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9593062041360907,0.05930620413609067,0.43918686689261294,0.46612197378124126,0.35600902208226787,0.030707451631946565,0.1298580913167022,| ablation=M3
